      family domain.file problem                       planner      instance.N planner.calls.mean plan.size.mean instance.time.mean prep.time.mean exec.time.mean
50  localize      d.pddl     p11 hop(num-sampled-scenarios=05)**            76           3.013158      16.644737       1.860641e-01   1.992224e-01   1.860641e-01
51  localize      d.pddl     p11 hop(num-sampled-scenarios=10)              76           2.000000      18.013158       3.119669e-01   1.773788e-01   3.119669e-01
52  localize      d.pddl     p13                            ff             103           6.941748      13.000000       1.493141e+00   1.633880e+00   2.282156e-01
53  localize      d.pddl     p13 hop(num-sampled-scenarios=05)**           103           2.116505      20.135922       3.869757e-01   3.510891e-01   3.869757e-01
54  localize      d.pddl     p13 hop(num-sampled-scenarios=10)             103           2.233010      20.407767       6.286217e-01   3.331463e-01   6.286217e-01
55  localize      d.pddl     p15                            ff             134           8.335821      15.000000       3.521861e+00   3.761222e+00   3.594819e-01
56  localize      d.pddl     p15 hop(num-sampled-scenarios=05)**           134           4.223881      23.171642       8.406796e-01   5.805728e-01   8.406796e-01
57  localize      d.pddl     p15 hop(num-sampled-scenarios=10)             134           3.902985      18.402985       1.611085e+00   5.756770e-01   1.611085e+00
58  localize      d.pddl     p17                            ff             169           9.751479      17.000000       9.384183e+00   9.782070e+00   5.587865e-01
59  localize      d.pddl     p17 hop(num-sampled-scenarios=05)**           169           6.656805      32.372781       1.791496e+00   9.114406e-01   1.791496e+00
60  localize      d.pddl     p17 hop(num-sampled-scenarios=10)             169           2.615385      24.544379       2.583215e+00   9.260214e-01   2.583215e+00

61   medpks*      d.pddl    p010                            ff              11           1.909091       1.909091       4.327427e-02   4.291064e-02   9.454545e-03
62   medpks*      d.pddl    p010 hop(num-sampled-scenarios=05)               4           1.000000       1.750000       2.000000e-03   6.000000e-03   2.000000e-03
63   medpks*      d.pddl    p010 hop(num-sampled-scenarios=10)               4           1.000000       2.000000       4.000250e-03   9.000000e-03   4.000250e-03
64   medpks*      d.pddl    p030                            ff              31           1.967742       1.967742       1.529120e-01   1.658811e-01   1.967742e-02
65   medpks*      d.pddl    p030 hop(num-sampled-scenarios=05)               5           1.000000       1.800000       1.200100e-02   4.000180e-02   1.200100e-02
66   medpks*      d.pddl    p030 hop(num-sampled-scenarios=10)               5           1.000000       2.000000       1.680100e-02   3.200140e-02   1.680100e-02
67   medpks*      d.pddl    p050                            ff              51           1.980392       1.980392       5.129724e-01   5.571725e-01   3.258827e-02
68   medpks*      d.pddl    p050 hop(num-sampled-scenarios=05)              26           1.000000       1.961538       2.400154e-02   6.769573e-02   2.400154e-02
69   medpks*      d.pddl    p050 hop(num-sampled-scenarios=10)              10           1.000000       2.000000       5.160320e-02   7.200380e-02   5.160320e-02
70   medpks*      d.pddl    p070                            ff              71           1.985915       1.985915       1.407862e+00   1.514827e+00   3.856408e-02
71   medpks*      d.pddl    p070 hop(num-sampled-scenarios=05)              28           1.000000       1.964286       6.057518e-02   1.625809e-01   6.057518e-02
72   medpks*      d.pddl    p070 hop(num-sampled-scenarios=10)               3           1.000000       2.000000       1.066737e-01   2.560153e-01   1.066737e-01
73   medpks*      d.pddl    p099                            ff             100           1.990000       1.990000       4.387073e+00   4.636572e+00   6.100030e-02
